"id","name","cost","description"
1,Absorb Energy,2,"Force 2: When hit by a nonmelee attack, this character takes no damage with a save of 11. Remove damage from this character equal to the prevented damage."
2,Aing-Tii Flow-Walking,3,"Force 3: Once per round, after initiative is determined, this character can take an immediate turn. This does not count as activating the character this round."
3,Anticipation,1,Force 1: Reroll initiative once per round.
4,Battle Meditation,2,"Force 2, replaces attacks: For the rest of the skirmish, this character gains the following commander effect: Allies who combine fire grant an additional +2 Attack, and enemy characters cannot combine fire."
5,Blaster Barrage,1,"Force 1, replaces attacks: Can attack every legal target once."
6,Control Minds,1,"Force 1, replaces attacks: For the rest of the skirmish, this character gains the following commander effect: Allies who combine fire grant an additional +2 Attack."
7,Dark Force Spirit 1,0,"If this character is defeated, each enemy character with a Force rating loses 1 Force point each time it activates for the rest of the skirmish."
8,Dark Temptation,1,"Force 1: +4 Attack and +20 Damage until the end of this character's turn. At the end of that turn, make a save of 11; if the save fails, this character joins the opponent's squad until the end of the skirmish."
9,Dispassionate Killer,1,"Force 1: +4 Attack and +20 Damage until the end of this character's turn. At the end of that turn, make a save of 11. If the save fails, this character is immediately defeated."
10,Drain Life 1,1,"Force 1, usable only on this character's turn: range 6; 10 damage to target living enemy, and remove 10 damage from this character; save 11."
11,Drain Life 3,3,"Force 3, usable only on this character's turn: range 6; 20 damage to target living enemy and to each living enemy adjacent to target, save 11. Remove damage from this character equal to the damage dealt."
12,Essence of Life,2,"Force 2: When a living ally within 6 squares would be defeated, that ally makes a save of 11. On a success, that ally has 10 Hit Points instead of being defeated."
13,Eternal Hatred,2,"Force 2: Whenever this character would be defeated, make a save of 6; on a success, this character is restored to full Hit Points instead of being defeated."
14,Force Absorb,2,Force 2: Cancel a Force power used by an adjacent character.
15,Force Alter,1,Force 1: range 6; any 1 enemy rerolls its last attack.
16,Force Blast,1,"Force 1, replaces attacks: range 6; 20 damage save 11."
17,Force Bubble,1,"Force 1: When this character takes damage, reduce the damage dealt by 20."
18,Force Burst,2,"Force 2, replaces turn: 10 damage to all other characters within 6 squares."
19,Force Cloak,2,"Force 2, replaces turn: For the rest of the skirmish, this character gains Cloaked."
20,Force Corruption 1,1,"Force 1, replaces attacks: range 6, non-Droids only: 10 damage, and target is corrupted. Each time the corrupted character activates, it must attempt a save of 11. On a failure, that character takes 10 damage. On a success, that character is no longer corrupted."
21,Force Corruption 2,2,"Force 2, replaces attacks: range 6, non-Droids only; 20 damage, and target is corrupted. Each time the corrupted character activates, it must attempt a save of 11. On a failure, that character takes 20 damage. On a success, that character is no longer corrupted."
22,Force Corruption 3,3,"Force 3, replaces turn: range 6, non-Droids only; target and each character adjacent to that target take 30 damage and are corrupted. Each time a corrupted character activates it must attempt a save of 11. On a failure, that character takes 30 damage. On a success, that character is no longer corrupted."
23,Force Corruption 4,4,"Force 4, replaces attacks: range 6, non-Droids only; 40 damage and target is corrupted. Each time the corrupted character activates, it must attempt a save of 11. On a failure, that character takes 40 damage. On a success, that character is no longer corrupted."
24,Force Defense,3,Force 3: Cancel a Force power used by a character within 6 squares.
25,Force Grip 1,1,"Force 1, replaces attacks: sight; 10 damage."
26,Force Grip 2,2,"Force 2, replaces attacks: sight; 20 damage."
27,Force Grip 4,4,"Force 4, replaces attacks: sight; 40 damage."
28,Force Heal 20,2,"Force 2, replaces attacks: touch; remove 20 damage from a living character."
29,Force Heal 30,2,"Force 2, replaces attacks: touch; remove 30 damage from a living character."
30,Force Heal 40,2,"Force 2, replaces attacks: touch; remove 40 damage from a living character."
31,Force Leap,1,"Force 1: This turn, this character can move through enemy characters without provoking attacks of opportunity."
32,Force Lightning 1,1,"Force 1, replaces attacks: range 6; 20 damge."
33,Force Lightning 2,2,"Force 2, replaces attacks: range 6; 30 damage to target and 2 characters adjacent to that target."
34,Force Lightning 3,3,"Force 3, replaces turn: range 6; 40 damage to target and 2 characters adjacent to that target. Huge or smaller characters are considered activated this round; save 11."
35,Force Lightning 4,4,"Force 4, replaces attacks: range 6; 50 damage to target. Huge or smaller characters are considered activated this round; save 16."
36,Force Lightning 5,5,"Force 5, replaces turn: range 6; 60 damage to target and 2 characters adjacent to that target. Huge or smaller characters are considered activated this round; save 16."
37,Force Phase,1,"Force 1: This turn, this character can move through walls."
38,Force Push 1,1,"Force 1, replaces attacks: range 6; 10 damage; push back target 1 square if Huge or smaller."
39,Force Push 2,2,"Force 2, replaces attacks: range 6; 20 damage; push back target 2 squares if Huge or smaller."
40,Force Push 3,3,"Force 3, replaces turn: range 6; 30 damage to target and to each character adjacent to that target, and push back target and each character adjacent to that target 3 squares if Huge or smaller."
41,Force Push 4,4,"Force 4, replaces attacks: sight; 40 damage; push back target 4 squares if Huge or smaller."
