"id","name","description"
1,Absorb Minerals +10,+10 Damage against Droid enemies and enemies with Mounted Weapon.
2,Accelerate,This character can move up to 24 squares if it does not attack.
3,Accurate Shot,Can attack an enemy with cover even if it's not the nearest enemy.
4,Advantageous Attack +10,+10 Damage against an enemy who has not activated this round.
5,Advantageous Cover,+8 Defense from cover instead of +4.
6,Affinity (501st),Characters whose names contain 501st may be in your squad regardless of faction.
7,Affinity (Han Solo),A character whose name contains Han Solo may be in your squad regardless of faction.
8,Affinity (Imperial),May be in an Imperial squad.
9,Affinity (Liea),A character whose name contains Leia may be in your squad regardless of faction.
10,Affinity (Malak/Revan),A character whose name contains Malak or Revan may be in your squad regardless of faction.
11,Affinity (New Republic),May be in a New Republic squad.
12,Affinity (New Republic/Old Republic),May be in a New Republic or Old Republic squad.
13,Affinity (Old Republic),May be in an Old Republic squad.
14,Affinity (Rebel),May be in a Rebel squad.
15,Affinity (Republic - Non Order 66),May be in a Republic squad that does not contain any characters with Order 66.
16,Affinity (Republic),May be in a Republic squad.
17,Alderaan Senator,Counts as a character named Alderaan Trooper.
18,Ambush,This character can move and then make all its attacks against 1 enemy who has not activated this round.
19,Armored Spacesuit,Immune to critical hits.
20,Artillerist +4,+4 Attack against enemies with Flight.
21,Ataru Style,+4 Attack if exactly 1 enemy is within 6 squares.
22,Ataru Style Mastery,+4 Attack and Twin Attack if exactly 1 enemy is within 6 squares.
23,Atlatl 20,Replaces attacks: range 6; 10 damage to target and to each character adjacent to target; save 11. A nonliving character that takes damage from this effect is considered activated this round; save 11 negates. Huge and larger characters ignore the non-damaging effect.
24,Augment Healing,Adjacent allies that use Heal or Force Heal double the amount of damage removed.
25,Avoid Defeat,"Whenever this character would be defeated, make 2 saves, each needing 11; if both succeed, this character has 10 Hit Points instead of being defeated."
26,Betrayal,"On an attack roll of natural 1 against this character, the attacker joins this character's squad until the end of the skirmish."
27,Black Sun,"If a character whose name contains Xizor or Vigo is in the same squad, this character gains Grenades 10."
